10,10,11,13,13,17,17,17,20,20,20,21,22,22,24,25,25,25,26,27,27,27,31,33,33,36,37,37,37,38,39,39,40,40,40,41,42,44,44,44,45,45,45,45,46,46,47,47,47,47
9,10,11,11,12,15,16,18,18,18,18,19,19,23,23,23,23,23,26,30,30,30,30,30,30,30,32,32,32,32,37,38,38,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,44
9,9,11,11,12,13,14,17,17,17,17,19,19,19,19,19,22,22,22,24,26,30,30,30,30,32,32,34,34,34,34,40,41,43,43,43,43,43,43,43,43,43,43,43,45,45,45,45,46,46
9,9,9,10,13,14,14,14,16,17,20,21,22,22,22,22,23,26,26,27,28,28,31,31,33,33,36,36,36,36,36,36,37,37,37,41,41,41,41,41,43,43,43,43,44,44,44,44,44,44
8,9,10,11,14,16,16,16,16,18,22,24,24,25,25,26,27,29,30,33,33,33,35,35,35,37,37,37,39,39,40,40,40,40,40,42,42,42,42,42,42,42,42,43,43,43,44,44,46,46
8,8,10,11,11,12,14,18,18,20,26,26,26,28,28,28,29,29,33,33,35,35,35,35,35,35,35,36,36,36,36,36,36,37,40,40,40,41,41,41,41,41,41,41,41,44,44,47,47,47
9,9,9,10,11,13,14,14,14,15,15,16,16,16,19,20,22,23,23,26,26,26,26,27,27,27,31,31,31,31,33,34,34,35,35,37,38,38,39,39,39,39,41,41,44,44,44,46,46,46
10,10,10,10,11,12,12,13,15,16,17,17,19,20,21,21,22,22,22,26,26,26,30,31,31,32,33,33,33,36,37,37,40,42,42,44,44,44,44,44,45,45,45,45,48,48,48,48,48,52
8,8,9,9,10,13,14,15,19,20,20,22,22,22,26,26,26,27,27,27,30,30,30,30,30,30,30,30,30,30,30,31,31,32,33,33,33,35,35,35,35,35,35,35,35,35,37,37,39,39
11,11,11,11,11,14,14,14,14,15,15,15,18,19,19,19,20,21,21,27,27,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.1,9.3,10.1,10.7,11.8,13.9,14.5,15.6,16.7,17.6,19,20,20.7,21.6,22.6,22.9,23.9,24.7,25.6,28,28.8,29.7,31,31.4,31.6,32.4,33.5,33.8,34,34.4,35.4,36.3,36.9,38,38.4,39.5,39.7,40.2,40.3,40.3,40.7,40.7,40.9,41,42,42.3,42.7,43.2,43.7,44.3
